GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,Move.Type,0,48,0,0,0,8,0,3,0,3
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,JumpUndo,0,38,0,0,0,9,0,2,0,2
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,Jump,13,0,0,0,4,0,2,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,KingDirection,69,0,0,0,11,0,4,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,KingUndo,0,30,0,0,0,8,0,2,0,2
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,Position,18,50,3,3,2,10,4,5,1,5
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,MoveUndo,0,27,0,0,0,7,0,2,0,2
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,NormalDirection,0,45,0,0,0,9,0,4,0,4
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,Move,18,99,3,3,2,18,4,8,1,8
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,Step,0,7,0,0,0,2,0,1,0,1
WebCheckers Model Tier Test Coverage,com.webcheckers.model.moves,MoveAction,0,15,0,0,0,6,0,1,0,1
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostBackupMoveRoute,76,0,6,0,16,0,5,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,ViewMode,39,0,0,0,2,0,2,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostValidateMoveRoute,61,0,2,0,13,0,4,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetGameRoute,121,0,6,0,26,0,6,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetHomeRoute,121,0,8,0,28,0,8,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,WebServer,124,0,0,0,22,0,3,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostCheckTurnRoute,51,0,2,0,11,0,4,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostSigninRoute,84,0,4,0,23,0,6,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetSigninRoute,28,0,0,0,7,0,2,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostSubmitTurnRoute,51,0,2,0,12,0,4,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,GetSignoutRoute,29,0,0,0,9,0,2,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.ui,PostGameRoute,127,0,4,0,26,0,4,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Player,39,6,4,0,6,3,5,1,3,1
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Color,0,37,0,0,0,7,0,3,0,3
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Space,14,38,3,5,2,12,4,8,2,6
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Piece.Type,0,29,0,0,0,3,0,2,0,2
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Board,301,343,32,44,61,55,35,24,15,6
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Game,77,115,11,5,14,30,18,6,11,5
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Piece,33,60,7,1,7,15,9,7,5,7
WebCheckers Model Tier Test Coverage,com.webcheckers.model,Row,30,69,1,7,6,11,6,7,5,4
WebCheckers Model Tier Test Coverage,com.webcheckers,Application,82,0,0,0,24,0,4,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,RowView,44,0,4,0,11,0,5,0,3,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,BoardView,69,0,8,0,15,0,8,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,PlayerLobby,49,0,2,0,12,0,7,0,6,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,GameLobby,26,0,0,0,6,0,4,0,4,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,Message.Type,29,0,0,0,3,0,2,0,2,0
WebCheckers Model Tier Test Coverage,com.webcheckers.appl,Message,15,0,0,0,6,0,3,0,3,0
