GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,Move.Type,0,48,0,0,0,8,0,3,0,3
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,JumpUndo,38,0,0,0,9,0,2,0,2,0
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,Jump,13,0,0,0,4,0,2,0,2,0
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,KingDirection,69,0,0,0,11,0,4,0,4,0
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,KingUndo,30,0,0,0,8,0,2,0,2,0
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,Position,37,31,6,0,5,7,5,4,2,4
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,MoveUndo,27,0,0,0,7,0,2,0,2,0
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,NormalDirection,0,45,0,0,0,9,0,4,0,4
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,Move,54,63,6,0,10,10,9,3,6,3
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,Step,0,7,0,0,0,2,0,1,0,1
WebCheckers UI Tier Test Coverage,com.webcheckers.model.moves,MoveAction,15,0,0,0,6,0,1,0,1,0
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,PostBackupMoveRoute,0,76,0,6,0,16,0,5,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,ViewMode,0,39,0,0,0,2,0,2,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,PostValidateMoveRoute,44,17,2,0,7,6,2,2,1,2
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,GetGameRoute,4,117,2,4,0,26,2,4,0,3
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,GetHomeRoute,8,113,2,6,0,28,2,6,1,3
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,WebServer,0,124,0,0,0,22,0,3,0,3
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,PostCheckTurnRoute,0,51,0,2,0,11,0,4,0,3
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,PostSigninRoute,4,80,0,4,2,21,0,6,0,4
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,GetSigninRoute,0,28,0,0,0,7,0,2,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,PostSubmitTurnRoute,9,42,1,1,1,11,1,3,0,3
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,GetSignoutRoute,0,29,0,0,0,9,0,2,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.ui,PostGameRoute,1,126,1,3,0,26,1,3,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Player,27,18,3,1,3,6,4,2,2,2
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Color,0,37,0,0,0,7,0,3,0,3
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Space,26,26,6,2,5,9,7,5,4,4
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Piece.Type,0,29,0,0,0,3,0,2,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Board,294,350,32,44,59,57,33,26,13,8
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Game,145,47,15,1,32,12,22,2,14,2
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Piece,37,56,7,1,8,14,10,6,6,6
WebCheckers UI Tier Test Coverage,com.webcheckers.model,Row,26,73,1,7,5,12,5,8,4,5
WebCheckers UI Tier Test Coverage,com.webcheckers,Application,82,0,0,0,24,0,4,0,4,0
WebCheckers UI Tier Test Coverage,com.webcheckers.appl,RowView,8,36,0,4,2,9,2,3,2,1
WebCheckers UI Tier Test Coverage,com.webcheckers.appl,BoardView,11,58,2,6,3,12,4,4,2,2
WebCheckers UI Tier Test Coverage,com.webcheckers.appl,PlayerLobby,49,0,2,0,12,0,7,0,6,0
WebCheckers UI Tier Test Coverage,com.webcheckers.appl,GameLobby,26,0,0,0,6,0,4,0,4,0
WebCheckers UI Tier Test Coverage,com.webcheckers.appl,Message.Type,0,29,0,0,0,3,0,2,0,2
WebCheckers UI Tier Test Coverage,com.webcheckers.appl,Message,3,12,0,0,1,5,1,2,1,2
